id,label,type,thc,energy
0,Blue Dream,Hybrid,19.0,72.89
1,Gelato,Hybrid,17.0,41.58
2,Sour Diesel,Sativa,19.0,94.11
3,Wedding Cake,Hybrid,21.0,33.66
4,GSC,Hybrid,19.0,57.28
5,Purple Punch,Indica,19.0,6.28
6,OG Kush,Hybrid,18.0,40.84
7,Original Glue,Hybrid,20.0,31.03
8,Jack Herer,Sativa,17.0,96.36
9,Green Crack,Sativa,17.0,98.36
10,Granddaddy Purple,Indica,17.0,7.23
11,White Widow,Hybrid,16.0,80.14
12,Sherbert,Hybrid,18.0,35.77
13,Runtz,Hybrid,,82.63
14,Pineapple Express,Hybrid,17.0,89.75
15,Zkittlez,Indica,19.0,19.38
16,Northern Lights,Indica,16.0,12.05
17,Mimosa,Hybrid,20.0,92.43
18,Do-Si-Dos,Indica,20.0,7.62
19,Bubba Kush,Indica,16.0,7.67
20,Durban Poison,Sativa,17.0,98.82
21,Forbidden Fruit,Indica,16.0,11.51
22,Chemdog,Hybrid,19.0,64.65
23,AK-47,Hybrid,16.0,71.43
24,Trainwreck,Hybrid,17.0,77.72
25,Super Lemon Haze,Sativa,18.0,97.69
26,Amnesia Haze,Sativa,19.0,88.42
27,Lemon Haze,Sativa,19.0,89.47
28,Stardawg,Hybrid,20.0,68.58
29,Cherry Pie,Hybrid,16.0,55.71
30,Bruce Banner,Hybrid,23.0,77.2
31,Strawberry Cough,Sativa,17.0,92.0
32,Blue Cookies,Hybrid,19.0,26.36
33,Mendo Breath,Indica,19.0,4.59
34,9 Pound Hammer,Indica,19.0,1.92
35,Blueberry,Indica,17.0,13.32
36,Super Silver Haze,Sativa,18.0,96.21
37,MAC,Hybrid,21.0,50.44
38,Ice Cream Cake,Indica,23.0,4.42
39,SFV OG,Hybrid,19.0,57.31
40,Alien OG,Hybrid,17.0,39.24
41,Animal Cookies,Hybrid,18.0,27.67
42,Alaskan Thunder Fuck,Sativa,15.0,94.66
43,Tangie,Sativa,17.0,95.51
44,Ghost Train Haze,Sativa,18.0,95.44
45,Grape Ape,Indica,17.0,8.12
46,Blue Cheese,Indica,16.0,19.06
47,Birthday Cake Kush,Hybrid,19.0,17.48
