,name,type,rating,reviews,thc,growth_difficulty,plant_height,yield_oz_per_ft_sqrd,flowering_weeks,energy,parent1,parent2,happy,euphoric,relaxed,uplifted,creative,energetic,hungry,sleepy,focused,tingly,giggly,aroused,talkative,stress,anxiety,depression,pain,insomnia,fatigue,lack_of_appetite,headaches,arthritis,inflammation,PTSD,ADD_ADHD,bipolar_disorder,nausea,asthma,muscle_spasms,migraines,cramps,eye_pressure,crohns_disease,gastrointestinal_disorder,cancer,fibromyalgia,epilepsy,anorexia,spasticity,dry_mouth,dry_eyes,paranoid,dizzy,anxious,headache
1,Blue Dream,Hybrid,4.3,13203,19,Moderate,> 78,3 - 6,10 - 12,72.89,Haze,Blueberry,59,54,51,50,40,NA,NA,NA,NA,NA,NA,NA,NA,38,30,29,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,16,7,7,4,NA
2,Gelato,Hybrid,4.7,1555,17,NA,NA,NA,NA,41.58,Thin Mint GSC,Sherbert,52,48,56,39,28,NA,NA,NA,NA,NA,NA,NA,NA,28,23,23,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,11,4,4,4,NA
3,Sour Diesel,Sativa,4.3,7633,19,Moderate,> 78,1 - 3,10 - 12,94.11,Chemdog 91,Super Skunk,62,53,NA,54,43,49,NA,NA,NA,NA,NA,NA,NA,38,28,28,24,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,19,10,8,NA,5
4,Wedding Cake,Hybrid,4.6,983,21,NA,NA,NA,NA,33.66,Triangle Mints,NA,52,42,60,36,NA,NA,22,NA,NA,NA,NA,NA,NA,23,16,18,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,2,5,2,NA
5,GSC,Hybrid,4.4,7004,19,Moderate,< 30,0.5 - 1,7 - 9,57.28,Durban Poison,OG Kush,62,54,58,46,35,NA,NA,NA,NA,NA,NA,NA,NA,35,26,28,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,5,5,4,NA
6,Purple Punch,Indica,4.6,844,19,NA,NA,NA,NA,6.28,Larry OG,Granddaddy Purple,46,41,69,27,NA,NA,NA,39,NA,NA,NA,NA,NA,30,25,24,24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,NA,6,3,2
7,OG Kush,Hybrid,4.3,5129,18,Difficult,> 78,1 - 3,7 - 9,40.84,Hindu Kush,NA,60,54,54,40,NA,NA,33,NA,NA,NA,NA,NA,NA,42,31,26,31,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,23,9,9,NA,5
8,Original Glue,Hybrid,4.7,4110,20,Moderate,> 78,1 - 3,7 - 9,31.03,Chem's Sister,Sour Dubble,56,53,70,41,NA,NA,NA,28,NA,NA,NA,NA,NA,33,24,26,26,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,13,4,5,4,NA
9,Jack Herer,Sativa,4.3,4309,17,Moderate,> 78,1 - 3,7 - 9,96.36,Northern Lights #5,Shiva Skunk,55,48,NA,52,43,47,NA,NA,NA,NA,NA,NA,NA,37,29,29,21,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,16,6,6,4,NA
10,Green Crack,Sativa,4.3,6303,17,Easy,> 78,1 - 3,7 - 9,98.36,Skunk No. 1,NA,56,45,NA,54,NA,63,NA,NA,42,NA,NA,NA,NA,36,28,28,19,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,16,9,6,7,NA
